accordion,accordion.jpg,accordion.mp3,acordeón
electric bass,electric bass.jpg,electric bass.mp3,bajo eléctrico
electric drill,electric drill.jpg,electric drill.mp3,taladro eléctrico
electric guitar,electric guitar.jpg,electric guitar.mp3,guitarra electrica
electric sander,electric sander.jpg,electric sander.mp3,lijadora eléctrica
elephant,elephant.jpg,elephant.mp3,elefante
envelope,envelope.jpg,envelope.mp3,sobre
eraser,eraser.jpg,eraser.mp3,borrador
ferret,ferret.jpg,ferret.mp3,hurón
file folders,file folders.jpg,file folders.mp3,carpetas de archivos
filing cabinet,filing cabinet.jpg,filing cabinet.mp3,Archivador
fire engine,fire engine.jpg,fire engine.mp3,camion de bomberos
fish,fish.jpg,fish.mp3,pez
flashlight,flashlight.jpg,flashlight.mp3,Linterna
flask,flask.jpg,flask.mp3,matraz
floppy disk,floppy disk.jpg,floppy disk.mp3,disco flexible
flute,flute.jpg,flute.mp3,flauta
football,football.jpg,football.mp3,fútbol americano
football helmet,football helmet.jpg,football helmet.mp3,casco de fútbol
fork(female),fork(female).jpg,fork(female).mp3,tenedora
fork(male),fork(male).jpg,fork(male).mp3,tenedor
French fries,French fries.jpg,French fries.mp3,papas fritas
French toast,French toast.jpg,French toast.mp3,tostada francesa
frying pan,frying pan.jpg,frying pan.mp3,sartén
garlic,garlic.jpg,garlic.mp3,ajo
ginger,ginger.jpg,ginger.mp3,jengibre
giraffe,giraffe.jpg,giraffe.mp3,jirafa
glass,glass.jpg,glass.mp3,vaso
glass,glass.jpg,glass.mp3,vaso
goat(female),goat(female).jpg,goat(female).mp3,cabra
goat(male),goat(male).jpg,goat(male).mp3,cabro
golf ball,golf ball.jpg,golf ball.mp3,pelota de golf
golf club,golf club.jpg,golf club.mp3,Club de Golf
golfer,golfer.jpg,golfer.mp3,golfista
gong,gong.jpg,gong.mp3,gong
grape juice,grape juice.jpg,grape juice.mp3,jugo de uva
grapes,grapes.jpg,grapes.mp3,uvas
grasshopper,grasshopper.jpg,grasshopper.mp3,saltamontes
grater,grater.jpg,grater.mp3,rallador
green beans,green beans.jpg,green beans.mp3,judías verdes
groundhog,groundhog.jpg,groundhog.mp3,marmota
guitar,guitar.jpg,guitar.mp3,guitarra
gymnast,gymnast.jpg,gymnast.mp3,gimnasta
hammer,hammer.jpg,hammer.mp3,martillo
hand drill,hand drill.jpg,hand drill.mp3,taladro de mano
handsaw,handsaw.jpg,handsaw.mp3,Sierra de mano
harmonica(female),harmonica(female).jpg,harmonica(female).mp3,harmónica
harmonica(male),harmonica(male).jpg,harmonica(male).mp3,harmónico
harp,harp.jpg,harp.mp3,arpa
hat,hat.jpg,hat.mp3,sombrero
helicopter,helicopter.jpg,helicopter.mp3,helicóptero
hen(female),hen(female).jpg,hen(female).mp3,gallina
hen(male),hen(male).jpg,hen(male).mp3,la hembra
hippopotamus,hippopotamus.jpg,hippopotamus.mp3,hipopótamo
hockey player,hockey player.jpg,hockey player.mp3,jugador de hockey
hockey skates,hockey skates.jpg,hockey skates.mp3,patines de hockey
hole punch,hole punch.jpg,hole punch.mp3,perforador
horse,horse.jpg,horse.mp3,caballo
hot chocolate,hot chocolate.jpg,hot chocolate.mp3,chocolate caliente
hot dog,hot dog.jpg,hot dog.mp3,Hot dog
iced tea,iced tea.jpg,iced tea.mp3,te helado
inline skate,inline skate.jpg,inline skate.mp3,patín en línea
inline skater,inline skater.jpg,inline skater.mp3,patinador en línea
jacket,jacket.jpg,jacket.mp3,chaqueta
jar(female),jar(female).jpg,jar(female).mp3,frasca
jar(male),jar(male).jpg,jar(male).mp3,frasco
jigsaw,jigsaw.jpg,jigsaw.mp3,rompecabezas
jog,jog.jpg,jog.mp3,empujoncito
jug,jug.jpg,jug.mp3,jarra
jump,jump.jpg,jump.mp3,saltar
jump rope,jump rope.jpg,jump rope.mp3,cuerda de salto
kangaroo,kangaroo.jpg,kangaroo.mp3,canguro
kick,kick.jpg,kick.mp3,patada
kiwis,kiwis.jpg,kiwis.mp3,kiwis
knife,knife.jpg,knife.mp3,cuchillo
knife,knife.jpg,knife.mp3,cuchillo
ladle,ladle.jpg,ladle.mp3,cucharón
ladybugs,ladybugs.jpg,ladybugs.mp3,mariquitas
lamb(female),lamb(female).jpg,lamb(female).mp3,cordera
lamb(male),lamb(male).jpg,lamb(male).mp3,cordero
lamp,lamp.jpg,lamp.mp3,lámpara
lawn mower,lawn mower.jpg,lawn mower.mp3,cortacésped
lemons,lemons.jpg,lemons.mp3,limones
lemur,lemur.jpg,lemur.mp3,lémur
leopard,leopard.jpg,leopard.mp3,leopardo
lettuce,lettuce.jpg,lettuce.mp3,lechuga
level,level.jpg,level.mp3,nivel
lift weights,lift weights.jpg,lift weights.mp3,Levantar pesas
limes,limes.jpg,limes.mp3,limas
lion,lion.jpg,lion.mp3,león
lobster,lobster.jpg,lobster.mp3,langosta
magnifying glass,magnifying glass.jpg,magnifying glass.mp3,lupa
mangos,mangos.jpg,mangos.mp3,mangos
maracas,maracas.jpg,maracas.mp3,maracas
masher,masher.jpg,masher.mp3,prensa de patatas
measuring tape,measuring tape.jpg,measuring tape.mp3,cinta métrica
meat,meat.jpg,meat.mp3,carne
metronome,metronome.jpg,metronome.mp3,metrónomo
microwave oven,microwave oven.jpg,microwave oven.mp3,horno microondas
milk,milk.jpg,milk.mp3,leche
millipede,millipede.jpg,millipede.mp3,milpiés
minivan,minivan.jpg,minivan.mp3,minivan
monkey(female),monkey(female).jpg,monkey(female).mp3,mona
monkey(male),monkey(male).jpg,monkey(male).mp3,mono
motorcycle,motorcycle.jpg,motorcycle.mp3,motocicleta
mountain goat,mountain goat.jpg,mountain goat.mp3,cabra de montaña
mountain lion,mountain lion.jpg,mountain lion.mp3,León de montaña
muffin tray,muffin tray.jpg,muffin tray.mp3,bandeja de muffin
mushrooms,mushrooms.jpg,mushrooms.mp3,hongos
music stand,music stand.jpg,music stand.mp3,atril
napkin dispenser,napkin dispenser.jpg,napkin dispenser.mp3,dispensador de servilletas
nectarines,nectarines.jpg,nectarines.mp3,nectarinas
notebook,notebook.jpg,notebook.mp3,computadora portátil
nuts,nuts.jpg,nuts.mp3,nueces
nuts and bolts,nuts and bolts.jpg,nuts and bolts.mp3,tuercas y tornillos
onion,onion.jpg,onion.mp3,cebolla
orange juice,orange juice.jpg,orange juice.mp3,zumo de naranja
oranges,oranges.jpg,oranges.mp3,naranjas
oven mitts,oven mitts.jpg,oven mitts.mp3,guantes de cocina
packing tape,packing tape.jpg,packing tape.mp3,cinta de embalaje
pancakes,pancakes.jpg,pancakes.mp3,panqueques
pants,pants.jpg,pants.mp3,pantalones
paper clip,paper clip.jpg,paper clip.mp3,clip de papel
paring knife,paring knife.jpg,paring knife.mp3,cuchillo de cocina
peaches,peaches.jpg,peaches.mp3,duraznos
peanuts,peanuts.jpg,peanuts.mp3,miseria
pears,pears.jpg,pears.mp3,peras
peas,peas.jpg,peas.mp3,guisantes
peeler,peeler.jpg,peeler.mp3,policía
pen,pen.jpg,pen.mp3,bolígrafo
pencils,pencils.jpg,pencils.mp3,lápices
peppers,peppers.jpg,peppers.mp3,pimientos
piano,piano.jpg,piano.mp3,piano
pickles,pickles.jpg,pickles.mp3,pepinillos
pickup truck,pickup truck.jpg,pickup truck.mp3,camioneta
pineapple,pineapple.jpg,pineapple.mp3,piña
pipe cutter,pipe cutter.jpg,pipe cutter.mp3,Cortatubos
pipe wrench,pipe wrench.jpg,pipe wrench.mp3,llave de tubo
pitcher(female),pitcher(female).jpg,pitcher(female).mp3,lanzadora
pitcher(male),pitcher(male).jpg,pitcher(male).mp3,lanzador
pizza,pizza.jpg,pizza.mp3,pizza
pizza cutter,pizza cutter.jpg,pizza cutter.mp3,cortador de pizza
plate,plate.jpg,plate.mp3,lámina
play baseball,play baseball.jpg,play baseball.mp3,jugar beisbol
play basketball,play basketball.jpg,play basketball.mp3,jugar baloncesto
play football,play football.jpg,play football.mp3,jugar fútbol
play golf,play golf.jpg,play golf.mp3,jugar al golf
play golf,play golf.jpg,play golf.mp3,jugar al golf
play hockey,play hockey.jpg,play hockey.mp3,jugar hockey
play soccer,play soccer.jpg,play soccer.mp3,jugar fútbol
play tennis,play tennis.jpg,play tennis.mp3,jugar tenis
play volleyball,play volleyball.jpg,play volleyball.mp3,jugar voleibol
plums,plums.jpg,plums.mp3,ciruelas
plunger,plunger.jpg,plunger.mp3,émbolo
polar bear,polar bear.jpg,polar bear.mp3,oso polar
police car,police car.jpg,police car.mp3,coche de policía
pomegranate,pomegranate.jpg,pomegranate.mp3,granada
pot,pot.jpg,pot.mp3,maceta
potatoes,potatoes.jpg,potatoes.mp3,papas
praying mantis,praying mantis.jpg,praying mantis.mp3,Mantis religiosa
pudding,pudding.jpg,pudding.mp3,pudín
pumpkin,pumpkin.jpg,pumpkin.mp3,calabaza
purse,purse.jpg,purse.mp3,cartera
rabbit(female),rabbit(female).jpg,rabbit(female).mp3,coneja
rabbit(male),rabbit(male).jpg,rabbit(male).mp3,conejo
radishes,radishes.jpg,radishes.mp3,rábanos
raspberries,raspberries.jpg,raspberries.mp3,frambuesas
refrigerator,refrigerator.jpg,refrigerator.mp3,refrigerador
rhinoceros,rhinoceros.jpg,rhinoceros.mp3,rinoceronte
ride a bicycle,ride a bicycle.jpg,ride a bicycle.mp3,montar en bicicleta
ride a skateboard,ride a skateboard.jpg,ride a skateboard.mp3,Monta una patineta
rollerblade,rollerblade.jpg,rollerblade.mp3,rodillo
rolling pin,rolling pin.jpg,rolling pin.mp3,rodillo
rooster,rooster.jpg,rooster.mp3,gallo
rubber bands,rubber bands.jpg,rubber bands.mp3,bandas de goma
rug,rug.jpg,rug.mp3,alfombra
run,run.jpg,run.mp3,correr
RV,RV.jpg,RV.mp3,RV
salt and pepper shakers,salt and pepper shakers.jpg,salt and pepper shakers.mp3,saltadores de sal y pimienta
sandals,sandals.jpg,sandals.mp3,sandalias
sandwich,sandwich.jpg,sandwich.mp3,sándwich
sardines,sardines.jpg,sardines.mp3,sardinas
sauce pan,sauce pan.jpg,sauce pan.mp3,salsa
sausage,sausage.jpg,sausage.mp3,embutido
saxophone,saxophone.jpg,saxophone.mp3,saxofón
school bus,school bus.jpg,school bus.mp3,autobús escolar
scissors,scissors.jpg,scissors.mp3,tijeras
scorpion,scorpion.jpg,scorpion.mp3,escorpión
scotch tape,scotch tape.jpg,scotch tape.mp3,Cinta adhesiva
scraper,scraper.jpg,scraper.mp3,raspador
screw eyes,screw eyes.jpg,screw eyes.mp3,ojos de atornillado
screwdrivers,screwdrivers.jpg,screwdrivers.mp3,destornilladores
scuba diver,scuba diver.jpg,scuba diver.mp3,buzo
sheep,sheep.jpg,sheep.mp3,oveja
shirt,shirt.jpg,shirt.mp3,camisa
shoes,shoes.jpg,shoes.mp3,zapatos
shorts,shorts.jpg,shorts.mp3,bermudas
shrimp,shrimp.jpg,shrimp.mp3,camarón
skateboard,skateboard.jpg,skateboard.mp3,patineta
skateboard,skateboard.jpg,skateboard.mp3,patineta
skateboarder,skateboarder.jpg,skateboarder.mp3,skater
ski,ski.jpg,ski.mp3,esquí
skier(female),skier(female).jpg,skier(female).mp3,esquiadora
skier(male),skier(male).jpg,skier(male).mp3,esquiador
skirt,skirt.jpg,skirt.mp3,falda
snake,snake.jpg,snake.mp3,serpiente
snare drum,snare drum.jpg,snare drum.mp3,trampa
sneakers,sneakers.jpg,sneakers.mp3,zapatillas
snowboard,snowboard.jpg,snowboard.mp3,tabla de snowboard
snowboard,snowboard.jpg,snowboard.mp3,tabla de snowboard
snowboarder,snowboarder.jpg,snowboarder.mp3,snowboarder
snowmobile,snowmobile.jpg,snowmobile.mp3,motonieve
soccer ball,soccer ball.jpg,soccer ball.mp3,balón de fútbol
soccer player,soccer player.jpg,soccer player.mp3,jugador de fútbol
socks,socks.jpg,socks.mp3,medias
soda,soda.jpg,soda.mp3,soda
sofa,sofa.jpg,sofa.mp3,sofá
spaghetti,spaghetti.jpg,spaghetti.mp3,espaguetis
spider,spider.jpg,spider.mp3,araña
spinach,spinach.jpg,spinach.mp3,espinaca
spoon,spoon.jpg,spoon.mp3,cuchara
sports car,sports car.jpg,sports car.mp3,coche deportivo
squid,squid.jpg,squid.mp3,calamar
staple gun,staple gun.jpg,staple gun.mp3,grapadora
staple remover,staple remover.jpg,staple remover.mp3,quitagrapas
stapler,stapler.jpg,stapler.mp3,engrapadora
staples,staples.jpg,staples.mp3,grapas
stove,stove.jpg,stove.mp3,cocina
strawberries,strawberries.jpg,strawberries.mp3,fresas
stretch,stretch.jpg,stretch.mp3,estirar
surf,surf.jpg,surf.mp3,navegar
surfboard,surfboard.jpg,surfboard.mp3,tabla de surf
surfer,surfer.jpg,surfer.mp3,tablista
sushi,sushi.jpg,sushi.mp3,Sushi
SUV,SUV.jpg,SUV.mp3,SUV
sweater,sweater.jpg,sweater.mp3,suéter
swim,swim.jpg,swim.mp3,nadar
swimmer(female),swimmer(female).jpg,swimmer(female).mp3,nadadora
swimmer(male),swimmer(male).jpg,swimmer(male).mp3,nadador
table,table.jpg,table.mp3,mesa
table saw,table saw.jpg,table saw.mp3,Sierra de mesa
tacos,tacos.jpg,tacos.mp3,tacos
take a taxi,take a taxi.jpg,take a taxi.mp3,toma un taxi
take the train,take the train.jpg,take the train.mp3,tomar el tren
tambourine,tambourine.jpg,tambourine.mp3,pandereta
tape dispenser,tape dispenser.jpg,tape dispenser.mp3,dispensador de cinta
tarantula,tarantula.jpg,tarantula.mp3,tarántula
tea,tea.jpg,tea.mp3,té
teacup and saucer,teacup and saucer.jpg,teacup and saucer.mp3,taza de té y platillo
teapot,teapot.jpg,teapot.mp3,tetera
television,television.jpg,television.mp3,televisión
tennis ball,tennis ball.jpg,tennis ball.mp3,Pelota de tenis
tennis player,tennis player.jpg,tennis player.mp3,tenista
tennis racket,tennis racket.jpg,tennis racket.mp3,raqueta de tenis
thumbtack,thumbtack.jpg,thumbtack.mp3,chinche
tie,tie.jpg,tie.mp3,atar
tiger,tiger.jpg,tiger.mp3,tigre
toast,toast.jpg,toast.mp3,tostada
toaster,toaster.jpg,toaster.mp3,tostadora
toilet,toilet.jpg,toilet.mp3,baño
tomatoes,tomatoes.jpg,tomatoes.mp3,Tomates
tomatoes,tomatoes.jpg,tomatoes.mp3,Tomates
tongs,tongs.jpg,tongs.mp3,tenazas
train,train.jpg,train.mp3,tren
trombone,trombone.jpg,trombone.mp3,trombón
trowel,trowel.jpg,trowel.mp3,paleta
trumpet,trumpet.jpg,trumpet.mp3,trompeta
t-shirt,t-shirt.jpg,t-shirt.mp3,camiseta
tuba,tuba.jpg,tuba.mp3,tuba
turkey(female),turkey(female).jpg,turkey(female).mp3,pava
turkey(male),turkey(male).jpg,turkey(male).mp3,pavo
van,van.jpg,van.mp3,camioneta
violin,violin.jpg,violin.mp3,violín
vise,vise.jpg,vise.mp3,tornillo
vise-grips,vise-grips.jpg,vise-grips.mp3,challe
volleyball,volleyball.jpg,volleyball.mp3,vóleibol
volleyball player,volleyball player.jpg,volleyball player.mp3,jugador de voleibol
waffle,waffle.jpg,waffle.mp3,gofre
walk,walk.jpg,walk.mp3,caminar
walking stick,walking stick.jpg,walking stick.mp3,bastón
wallet,wallet.jpg,wallet.mp3,billetera
washer,washer.jpg,washer.mp3,lavadora
wasp,wasp.jpg,wasp.mp3,avispa
water,water.jpg,water.mp3,agua
watermelon,watermelon.jpg,watermelon.mp3,sandía
weight lifter,weight lifter.jpg,weight lifter.mp3,levantador de pesas
whisk,whisk.jpg,whisk.mp3,batidor
wine glass,wine glass.jpg,wine glass.mp3,Copa de vino
wrench,wrench.jpg,wrench.mp3,llave inglesa
wrenches,wrenches.jpg,wrenches.mp3,llaves
xylophone,xylophone.jpg,xylophone.mp3,xilófono
zebra,zebra.jpg,zebra.mp3,cebra
zucchini,zucchini.jpg,zucchini.mp3,calabacín
